✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:29:14] Time: 251s | Total Latency: 59902.00 ms | Throughput: 56906.90 records/s
[16:29:16] Time: 253s | Total Latency: 56761.00 ms | Throughput: 66460.43 records/s
[16:29:18] Time: 255s | Total Latency: 56761.00 ms | Throughput: 70984.20 records/s
[16:29:20] Time: 257s | Total Latency: 56761.00 ms | Throughput: 76057.17 records/s
[16:29:22] Time: 259s | Total Latency: 56367.00 ms | Throughput: 80962.53 records/s
[16:29:24] Time: 261s | Total Latency: 56367.00 ms | Throughput: 86851.23 records/s
[16:29:26] Time: 263s | Total Latency: 54960.00 ms | Throughput: 98324.40 records/s
[16:29:28] Time: 265s | Total Latency: 54960.00 ms | Throughput: 100324.40 records/s
[16:29:30] Time: 267s | Total Latency: 54960.00 ms | Throughput: 101800.17 records/s
[16:29:32] Time: 269s | Total Latency: 53223.00 ms | Throughput: 113046.50 records/s
[16:29:34] Time: 271s | Total Latency: 53223.00 ms | Throughput: 117979.13 records/s
[16:29:36] Time: 273s | Total Latency: 52597.00 ms | Throughput: 126876.17 records/s
[16:29:38] Time: 275s | Total Latency: 52597.00 ms | Throughput: 129331.93 records/s
[16:29:40] Time: 277s | Total Latency: 52597.00 ms | Throughput: 131662.27 records/s
[16:29:42] Time: 279s | Total Latency: 50358.00 ms | Throughput: 139467.00 records/s
[16:29:44] Time: 281s | Total Latency: 50358.00 ms | Throughput: 147269.87 records/s
[16:29:46] Time: 283s | Total Latency: 47716.00 ms | Throughput: 155369.30 records/s
[16:29:48] Time: 285s | Total Latency: 47716.00 ms | Throughput: 160308.37 records/s
[16:29:50] Time: 287s | Total Latency: 47716.00 ms | Throughput: 164268.03 records/s
[16:29:52] Time: 289s | Total Latency: 44664.00 ms | Throughput: 175052.03 records/s
[16:29:54] Time: 291s | Total Latency: 44664.00 ms | Throughput: 181428.97 records/s
[16:29:56] Time: 293s | Total Latency: 45001.00 ms | Throughput: 189269.73 records/s
[16:29:58] Time: 295s | Total Latency: 45001.00 ms | Throughput: 192664.50 records/s
[16:30:00] Time: 297s | Total Latency: 45001.00 ms | Throughput: 194483.63 records/s
[16:30:02] Time: 299s | Total Latency: 41478.00 ms | Throughput: 200559.53 records/s
[16:30:04] Time: 301s | Total Latency: 41478.00 ms | Throughput: 200751.87 records/s
