timestamp,unix_timestamp,relative_time,total_latency_ms,throughput
18:59:42,1778151582.6448953,82,34227.0,81405.98333333334
18:59:44,1778151584.6587849,84,34227.0,81405.98333333334
18:59:46,1778151586.6661723,86,34227.0,83386.35
18:59:48,1778151588.6713424,88,33542.0,83817.8
18:59:50,1778151590.6782916,90,33542.0,84266.46666666667
18:59:52,1778151592.6846242,92,33281.0,85140.58333333333
18:59:54,1778151594.688413,94,33281.0,85140.58333333333
18:59:56,1778151596.6916683,96,33597.0,88628.21666666667
18:59:58,1778151598.6966493,98,33783.0,89398.45
19:00:00,1778151600.7557518,100,33783.0,90517.1
19:00:02,1778151602.7598426,102,35859.0,93140.06666666667
19:00:04,1778151604.7786398,104,35859.0,93140.06666666667
19:00:06,1778151606.7892568,106,35859.0,97254.7
19:00:08,1778151608.7987998,108,38185.0,97626.06666666667
19:00:10,1778151610.8019843,110,38185.0,97285.93333333333
19:00:12,1778151612.8084884,112,41016.0,97474.36666666667
19:00:14,1778151614.8238528,114,41016.0,97474.36666666667
19:00:16,1778151616.8412442,116,41016.0,99940.45000000001
19:00:18,1778151618.8586802,118,42968.0,100451.06666666667
19:00:20,1778151620.8623939,120,42968.0,102914.08333333333
19:00:22,1778151622.8669999,122,44177.0,103143.45
19:00:24,1778151624.8763618,124,44177.0,103143.45
19:00:26,1778151626.8815258,126,44177.0,104236.16666666666
19:00:28,1778151628.8860905,128,46114.0,103992.95
19:00:30,1778151630.9010472,130,46114.0,104077.23333333334
19:00:32,1778151632.9174523,132,46563.0,104368.23333333334
19:00:34,1778151634.9321947,134,46563.0,104368.23333333334
19:00:36,1778151636.9378355,136,46563.0,104971.1
19:00:38,1778151638.9434783,138,47188.0,105648.61666666667
19:00:40,1778151640.9469755,140,47188.0,108097.08333333334
19:00:42,1778151642.9520504,142,48555.0,108829.96666666667
19:00:44,1778151644.956049,144,48555.0,108829.96666666667
19:00:46,1778151646.9597,146,48555.0,112416.98333333334
19:00:48,1778151648.9638963,148,49779.0,113197.95000000001
19:00:50,1778151650.9688275,150,49779.0,116886.56666666667
19:00:52,1778151652.9724715,152,51842.0,117066.8
19:00:54,1778151654.9752223,154,51842.0,117066.8
19:00:56,1778151656.9780898,156,51842.0,114508.03333333334
19:00:58,1778151658.9828956,158,53314.0,113667.33333333334
19:01:00,1778151660.986884,160,53314.0,109171.55
19:01:02,1778151662.9950674,162,53142.0,109482.5
19:01:05,1778151665.0022912,164,53142.0,109482.5
19:01:07,1778151667.014533,166,52871.0,23472.0
19:01:13,1778151673.0529604,172,60542.0,0.0
19:01:15,1778151675.057896,174,61425.0,0.0
19:01:17,1778151677.0749016,176,61519.0,0.0
19:01:19,1778151679.0801728,178,62352.0,1398.0333333333333
19:01:21,1778151681.0842197,180,62352.0,11359.266666666666
19:01:23,1778151683.0904915,182,63592.0,12708.15
19:01:25,1778151685.0940583,184,63592.0,12708.15
19:01:27,1778151687.098435,186,63592.0,22990.13333333333
19:01:29,1778151689.1028624,188,65221.0,24743.166666666668
19:01:31,1778151691.1071844,190,65221.0,33659.2
19:01:33,1778151693.110791,192,67495.0,35559.66666666667
19:01:35,1778151695.1148143,194,67495.0,35559.66666666667
19:01:37,1778151697.1197288,196,67495.0,43797.3
19:01:39,1778151699.123971,198,68637.0,45796.083333333336
19:01:41,1778151701.1286783,200,68637.0,53714.600000000006
19:01:43,1778151703.132816,202,70106.0,55735.216666666674
19:01:45,1778151705.1369486,204,70106.0,55735.216666666674
19:01:47,1778151707.1413252,206,70106.0,62951.16666666667
19:01:49,1778151709.1446617,208,70719.0,65020.95
19:01:51,1778151711.1492493,210,70719.0,71415.46666666666
19:01:53,1778151713.1549497,212,68933.0,73419.7
19:01:55,1778151715.1732008,214,68933.0,73419.7
19:01:57,1778151717.17712,216,68933.0,80722.56666666667
19:01:59,1778151719.1811528,218,69005.0,82584.83333333333
19:02:01,1778151721.1849837,220,69005.0,90540.33333333333
19:02:03,1778151723.1905553,222,70626.0,92320.65
19:02:05,1778151725.195417,224,70626.0,92320.65
19:02:07,1778151727.2091587,226,70626.0,100131.91666666667
19:02:09,1778151729.219842,228,72404.0,101878.85
19:02:11,1778151731.237399,230,72404.0,109585.41666666666
19:02:13,1778151733.2414582,232,73909.0,111479.43333333333
19:02:15,1778151735.2447531,234,73909.0,111479.43333333333
19:02:17,1778151737.248348,236,76498.0,118777.65000000001
19:02:19,1778151739.2513187,238,76498.0,118777.65000000001
19:02:21,1778151741.2544234,240,76498.0,115220.40000000001
19:02:23,1778151743.2583988,242,78552.0,115728.3
19:02:25,1778151745.2627883,244,78552.0,115728.3
19:02:27,1778151747.2663395,246,79775.0,112979.66666666667
19:02:29,1778151749.2829666,248,79775.0,112979.66666666667
19:02:31,1778151751.2869682,250,79775.0,112229.35
19:02:33,1778151753.2919743,252,80874.0,112218.43333333333
19:02:35,1778151755.2966905,254,80874.0,112218.43333333333
19:02:37,1778151757.301213,256,78757.0,111298.55
19:02:39,1778151759.3075612,258,78757.0,111298.55
19:02:41,1778151761.3221347,260,78757.0,110790.85
19:02:43,1778151763.3287559,262,80469.0,110840.0
19:02:45,1778151765.338631,264,80469.0,110840.0
19:02:47,1778151767.3431022,267,82124.0,109398.8
19:02:49,1778151769.351618,269,82124.0,109398.8
19:02:51,1778151771.3562443,271,82124.0,109141.83333333333
19:02:53,1778151773.367561,273,84128.0,109064.13333333333
19:02:55,1778151775.372041,275,84128.0,109064.13333333333
19:02:57,1778151777.3785498,277,86226.0,109150.93333333333
19:02:59,1778151779.387667,279,86226.0,109150.93333333333
19:03:01,1778151781.3925517,281,86226.0,109719.31666666667
